Date,City,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,HCHO,Temp,Wind_U,Wind_V,Fire_Count,AOD,Latitude,Longitude,PM2.5_SubIndex,NO2_column_number_density,SO2_column_number_density,CO_column_number_density,O3_column_number_density,Distance_To_Coast,Elevation
2024-01-01,Ahmedabad,73.2,130.53,12.49,13.22,25.4,13.14,3.03,0.54,22.13,0.0001245207121044,293.81811773314956,-0.4379539933315542,-1.719785076703212,2.0,0.4436348036802171,23.0225,72.5714,143.0,0.0002302632638021,0.0006742018740626,0.0468255877494967,0.1140129268169781,206.36,53.0
2024-01-02,Ahmedabad,57.24,107.92,11.84,9.07,20.86,12.49,2.84,0.49,22.34,0.0002527690082124,293.81893449236253,-0.2992819556894228,-2.0840451338494472,2.0,0.4436348036802171,23.0225,72.5714,95.0,0.0001514712203061,0.0004939257632942,0.0454023554921301,0.1137632727623363,206.36,53.0
2024-01-03,Ahmedabad,55.91,100.13,11.63,7.31,18.64,12.25,3.46,0.49,21.75,0.0002765019129109,292.92596136876773,-1.227030036985412,-2.0582826008168302,3.0,0.4436348036802171,23.0225,72.5714,93.0,0.0001755582197802,0.0003708179865499,0.0364486053586127,0.1111706420779597,206.36,53.0
2024-01-04,Ahmedabad,52.81,93.18,12.53,7.03,19.53,12.41,2.93,0.52,21.89,8.676216107025541e-05,292.33618283826246,-1.3207263059394303,-2.3554589092269427,5.0,0.4436348036802171,23.0225,72.5714,88.0,0.0001434604346286,-0.000900603597984,0.0434480234980727,0.1129624992609399,206.36,53.0
2024-01-05,Ahmedabad,61.24,106.82,11.71,5.81,17.34,12.04,3.13,0.68,22.01,0.0002254729472267,292.3781309941018,-1.5393364327822543,-2.011707072110139,3.0,0.4436348036802171,23.0225,72.5714,102.0,0.000120090650346,0.0013293050815049,0.0425487011671207,0.1096124117265988,206.36,53.0
2024-01-06,Ahmedabad,49.21,87.78,10.94,4.65,15.42,11.73,2.8,0.53,22.05,0.0003036562950607,292.5403706010922,-2.5326257999553237,-2.125541780346124,3.0,0.4436348036802171,23.0225,72.5714,82.0,0.0001442643406335,0.0002929139882327,0.0458837263286266,0.1122757121920958,206.36,53.0
2024-01-07,Ahmedabad,46.6,86.41,9.48,4.37,13.7,11.42,2.87,0.43,22.39,0.0002442513704913,293.68660370878473,-2.941223662028941,-1.8885879609011864,2.0,0.4436348036802171,23.0225,72.5714,77.0,0.0001131096723839,4.1286413761568e-05,0.0458837263286266,0.1179491952062044,206.36,53.0
2024-01-08,Ahmedabad,53.83,95.96,10.5,4.67,15.15,11.68,2.86,0.42,21.96,0.0001248053334215,295.0717960180238,-1.2010150140570115,-2.20298771155897,1.0,0.4436348036802171,23.0225,72.5714,90.0,0.0001459600007004,4.1286413761568e-05,0.0500138215720819,0.1119699036710512,206.36,53.0
2024-01-09,Ahmedabad,56.66,102.9,13.15,6.78,19.93,12.37,3.69,0.36,21.78,0.0001621855058801,295.70535872703374,-0.9114738878353622,-2.854940144590629,1.0,0.4436348036802171,23.0225,72.5714,94.0,0.0001423573121428,4.1286413761568e-05,0.0510065704584291,0.1102578863501915,206.36,53.0
2024-01-10,Ahmedabad,56.25,102.54,12.6,5.87,18.48,12.22,3.32,0.45,22.15,0.0001336138915021,294.9083905626636,-1.3866860885028691,-2.170647855876952,4.0,0.4436348036802171,23.0225,72.5714,94.0,7.995273335839484e-05,4.1286413761568e-05,0.050324913114326,0.1144318655133627,206.36,53.0
2024-01-11,Ahmedabad,50.6,90.82,11.56,12.96,24.02,13.62,3.42,0.36,21.82,0.0001195571467931,294.65648444123974,-1.294044819913169,-1.8627794167792149,1.0,0.4436348036802171,23.0225,72.5714,84.0,0.0001235542663349,0.0007297647968293,0.050324913114326,0.1176739068662024,206.36,53.0
2024-01-12,Ahmedabad,52.59,92.7,12.91,22.83,34.31,15.79,3.93,0.28,21.58,0.000216597608343,294.6756779722465,-0.8542696043502452,-1.3284934842309286,4.0,0.4436348036802171,23.0225,72.5714,87.0,0.0003027083002963,0.0003296814975329,0.0475906543433824,0.1165056675672918,206.36,53.0
2024-01-13,Ahmedabad,60.24,103.83,18.88,25.85,43.25,17.34,4.21,0.29,21.3,0.0001336116806053,294.0435694908911,0.9340475954750712,-1.7420277974402256,4.0,0.4436348036802171,23.0225,72.5714,98.0,0.0001321684034695,-0.0004690548493301,0.0406901724636689,0.1187096330189431,206.36,53.0
2024-01-14,Ahmedabad,51.82,89.52,21.85,24.76,45.58,17.77,5.19,0.32,21.31,7.110872193525287e-05,292.7300622629565,0.9461925713590872,-2.147489296373471,4.0,0.4436348036802171,23.0225,72.5714,86.0,0.0001452152560712,-7.73836317751043e-05,0.0385306977313704,0.1212658497973931,206.36,53.0
2024-01-15,Ahmedabad,46.52,80.75,12.53,22.93,34.33,15.72,5.2,0.18,22.39,0.0003122324521618,292.22284266745396,0.1836361136547354,-1.0129335684369702,1.0,0.4436348036802171,23.0225,72.5714,77.0,0.0001786097860018,0.0008504416419475,0.041667655110373,0.1170156099520465,206.36,53.0
2024-01-16,Ahmedabad,63.15,108.81,15.86,22.49,37.35,16.27,4.1,0.5,21.7,0.0002776167890595,291.91808477298235,0.7308930833210316,-0.8616164395975511,3.0,0.4436348036802171,23.0225,72.5714,108.0,0.0001793678820832,0.0015219371998687,0.0485185906291169,0.1188160330057538,206.36,53.0
2024-01-17,Ahmedabad,70.2,117.84,14.11,23.79,36.9,15.87,4.62,1.11,21.45,0.0001410207384346,292.53987220645877,0.0667274700578793,-1.3761608859365302,3.0,0.4436348036802171,23.0225,72.5714,132.0,0.0001833712740336,0.000158318594913,0.0404670685529843,0.1174026504159363,206.36,53.0
2024-01-18,Ahmedabad,59.99,102.8,10.98,20.23,30.21,15.01,4.14,1.25,21.86,0.000213241281453,293.2076386000759,-0.9977434439252512,-1.732936656752298,3.0,0.4436348036802171,23.0225,72.5714,100.0,0.00021428473457,-0.0003193756638552,0.0404670685529843,0.1208335050175397,206.36,53.0
2024-01-19,Ahmedabad,54.43,94.67,9.35,17.42,25.78,14.47,4.18,1.06,22.27,0.0001909246224281,293.2714472334514,-2.0091455666593805,-1.568607389464859,6.0,0.4436348036802171,23.0225,72.5714,91.0,0.0001187062443932,-1.0360901114839893e-06,0.0404670685529843,0.1183246001601612,206.36,53.0
2024-01-20,Ahmedabad,55.64,95.29,9.6,15.05,23.65,14.08,4.23,1.05,22.03,0.0002698231070563,292.9291144526282,-1.0230549601621406,-2.035306286442187,3.0,0.4436348036802171,23.0225,72.5714,93.0,0.0001916695182445,6.077310536058776e-05,0.0464049018919622,0.116800323128739,206.36,53.0
2024-01-21,Ahmedabad,53.86,92.87,8.39,14.31,21.7,13.9,4.01,1.36,22.22,4.7069075085931565e-05,292.22282754173574,-2.2726243216862048,-1.0594250647596613,1.0,0.4436348036802171,23.0225,72.5714,90.0,0.0001479456041125,0.0040725623257471,0.0464049018919622,0.1152073256671811,206.36,53.0
2024-01-22,Ahmedabad,79.37,130.26,8.66,16.0,23.64,14.21,4.14,1.43,21.84,0.0001341638552372,292.10476615077766,-1.54615124159081,-1.2628226234007252,0.0,0.4436348036802171,23.0225,72.5714,164.0,0.0001897897018353,0.0007988298311832,0.0434800684452201,0.1146896183491134,206.36,53.0
2024-01-23,Ahmedabad,79.2,131.69,10.24,16.61,25.89,14.54,4.66,1.25,21.59,0.0001876946857573,292.34407328820043,-0.7069608204124509,-1.3908099268758018,0.0,0.4436348036802171,23.0225,72.5714,163.0,0.0003669151682506,0.0005970671673606,0.0434800684452201,0.1155127737438644,206.36,53.0
2024-01-24,Ahmedabad,73.4,125.33,11.16,17.71,27.86,14.82,4.7,1.33,21.41,0.0001998553037985,292.5114836138348,-0.7435131840003553,-1.0870119730631511,2.0,0.4436348036802171,23.0225,72.5714,143.0,0.0003136615923174,0.0002374299361732,0.0434800684452201,0.1147477508526668,206.36,53.0
2024-01-25,Ahmedabad,58.02,98.58,10.96,17.85,28.26,14.79,5.7,0.86,22.54,0.0001384354524529,292.62146055236343,-1.7527659512305442,-0.6657463635585105,2.0,0.4436348036802171,23.0225,72.5714,97.0,0.0001843446747651,0.000148966578351,0.0434800684452201,0.1250882987427105,206.36,53.0
2024-01-26,Ahmedabad,52.71,90.42,10.93,17.24,28.17,14.74,4.99,0.7,23.48,0.000206155337829,293.0386073533879,-1.800728716591532,-1.5226835058641064,5.0,0.4436348036802171,23.0225,72.5714,88.0,0.0001172869103036,0.0002698822153887,0.0428714596600676,0.1306170087660872,206.36,53.0
2024-01-27,Ahmedabad,69.88,117.67,13.57,19.67,32.88,15.52,7.37,0.65,23.03,0.0001760630935256,293.77746342503747,-1.5168168563251347,-1.0588903140652086,2.0,0.4436348036802171,23.0225,72.5714,131.0,0.0001991541303601,7.077448338009264e-05,0.0428714596600676,0.1299208086854078,206.36,53.0
